TLD,Contract
.farm,0x06b0c665159fcac1b7f6ad36c167808f542ea790
.water,0xFfbdbcBc7624b27Ac484BCA8A43EfFEc11Fc8d65
.silver,0xf89f79fcc66903234dad9b09c6167ace02ec1776
.steel,0x783053a053c8e68a54659a7952e385d4c686418a
.med,0xa1a15b88de195759e1a0cf0ed4af1cdb197dbf9e
.bio,0xeaede9be187516f665d5c5c383b12425d025ce54
.real,0x0a2c01031c6e4d0668b49f1d3db9e4d805d69f8c
.v,0x2c4f3f4c33713233218f942d195668476584af47
.911,0xEdd543476C929E9eE062fE9EcF1150E403533126
.brics,0xa497f59dd691c26cc0322fbaf588e439216068f3
.peso,0x9e9399d7967f628c1e779860222b92d29b60a095
.yen,0xcb72ac9b5f9b5488234928a17b6f7bb86ad994cb
.diversegy,0x7aaaeea71ae66ddfb0a448975b6d7b9b0f752103
